Temperature, C	Time, min	dL/L0_corr
54.469	5.11	-2.5540000000000003e-05
54.522	5.12	-2.7820000000000015e-05
54.573	5.13	-2.7100000000000062e-05
54.619	5.14	-2.4959999999999978e-05
54.67	5.15	-2.585000000000006e-05
54.717	5.16	-2.5379999999999977e-05
54.76	5.17	-2.645000000000002e-05
54.812	5.18	-2.500000000000001e-05
54.864	5.19	-2.4519999999999935e-05
54.915	5.2	-2.4389999999999948e-05
54.963	5.21	-2.6540000000000027e-05
55.016	5.22	-2.7660000000000043e-05
55.063	5.23	-2.725999999999998e-05
55.109	5.24	-2.5769999999999992e-05
55.165	5.25	-2.743e-05
55.212	5.26	-2.6549999999999968e-05
55.267	5.27	-2.762999999999995e-05
55.317	5.28	-2.3789999999999987e-05
55.368	5.29	-2.6619999999999986e-05
55.415	5.3	-2.8519999999999978e-05
55.467	5.31	-2.838000000000005e-05
55.518	5.32	-2.9050000000000083e-05
55.56	5.33	-2.9520000000000002e-05
55.615	5.34	-2.8570000000000006e-05
55.661	5.35	-2.7329999999999998e-05
55.712	5.36	-2.9009999999999995e-05
55.769	5.37	-2.9010000000000103e-05
55.808	5.38	-2.9819999999999955e-05
55.868	5.39	-2.804999999999995e-05
55.922	5.4	-2.4669999999999965e-05
55.975	5.41	-2.5019999999999947e-05
56.028	5.42	-2.6289999999999994e-05
56.08	5.43	-2.850999999999993e-05
56.133	5.44	-2.7830000000000064e-05
56.177	5.45	-2.4979999999999968e-05
56.229	5.46	-3.0110000000000076e-05
56.275	5.47	-2.7059999999999975e-05
56.339	5.48	-2.8209999999999976e-05
56.379	5.49	-2.7800000000000025e-05
56.429	5.5	-2.8260000000000004e-05
56.481	5.51	-3.087000000000001e-05
56.533	5.52	-2.8150000000000007e-05
56.578	5.53	-2.8199999999999927e-05
56.632	5.54	-2.881999999999993e-05
56.685	5.55	-2.9810000000000014e-05
56.738	5.56	-2.8609999999999985e-05
56.789	5.57	-2.9429999999999994e-05
56.842	5.58	-2.9880000000000032e-05
56.891	5.59	-3.0250000000000003e-05
56.944	5.6	-3.0980000000000005e-05
57.003	5.61	-3.0560000000000006e-05
57.056	5.62	-2.767000000000004e-05
57.109	5.63	-2.4660000000000025e-05
57.158	5.64	-3.068000000000005e-05
57.208	5.65	-3.115999999999991e-05
57.262	5.66	-2.7410000000000065e-05
57.323	5.67	-2.9509999999999953e-05
57.376	5.68	-3.2989999999999994e-05
57.424	5.69	-3.003999999999995e-05
57.47	5.7	-2.7549999999999992e-05
57.515	5.71	-3.0619999999999974e-05
57.572	5.72	-2.7719999999999958e-05
57.628	5.73	-3.047999999999994e-05
57.689	5.74	-2.919999999999995e-05
57.728	5.75	-2.5940000000000013e-05
57.79	5.76	-2.9769999999999927e-05
57.844	5.77	-3.0230000000000014e-05
57.904	5.78	-2.848999999999994e-05
57.955	5.79	-3.1059999999999964e-05
57.99	5.8	-3.349000000000006e-05
58.046	5.81	-3.204e-05
58.107	5.82	-3.0170000000000045e-05
58.161	5.83	-3.0590000000000044e-05
58.213	5.84	-3.0249999999999895e-05
58.275	5.85	-3.040999999999992e-05
58.322	5.86	-2.836000000000006e-05
58.373	5.87	-3.0129999999999957e-05
58.424	5.88	-2.882000000000004e-05
58.475	5.89	-3.285000000000007e-05
58.529	5.9	-3.0520000000000026e-05
58.583	5.91	-2.5399999999999967e-05
58.638	5.92	-3.0480000000000047e-05
58.691	5.93	-3.160000000000001e-05
58.751	5.94	-3.401000000000001e-05
58.802	5.95	-3.328000000000001e-05
58.863	5.96	-3.404999999999999e-05
58.921	5.97	-3.0999999999999995e-05
58.96	5.98	-3.1740000000000045e-05
59.007	5.99	-3.2970000000000005e-05
59.059	6.0	-3.0540000000000016e-05
59.127	6.01	-2.8570000000000006e-05
59.184	6.02	-3.288999999999994e-05
59.229	6.03	-3.0420000000000078e-05
59.285	6.04	-3.267000000000005e-05
59.333	6.05	-3.1349999999999976e-05
59.399	6.06	-3.459000000000003e-05
59.454	6.07	-3.3369999999999906e-05
59.499	6.08	-3.1829999999999944e-05
59.569	6.09	-3.236999999999999e-05
59.628	6.1	-3.2209999999999964e-05
59.668	6.11	-3.357000000000002e-05
59.73	6.12	-3.153999999999993e-05
59.776	6.13	-3.077000000000006e-05
59.835	6.14	-3.563000000000004e-05
59.888	6.15	-3.762999999999998e-05
59.946	6.16	-3.589999999999995e-05
60.006	6.17	-3.277e-05
60.059	6.18	-3.390000000000001e-05
60.108	6.19	-3.079000000000005e-05
60.167	6.2	-3.321999999999993e-05
60.229	6.21	-3.386000000000003e-05
60.279	6.22	-3.242999999999996e-05
60.335	6.23	-3.0619999999999974e-05
60.388	6.24	-3.2169999999999985e-05
60.447	6.25	-3.043999999999996e-05
60.509	6.26	-3.162e-05
60.562	6.27	-3.0630000000000024e-05
60.627	6.28	-3.556999999999996e-05
60.666	6.29	-3.280999999999998e-05
60.73	6.3	-3.2149999999999995e-05
60.775	6.31	-3.240000000000003e-05
60.831	6.32	-3.476e-05
60.882	6.33	-3.266e-05
60.945	6.34	-3.322000000000004e-05
61.005	6.35	-3.468999999999998e-05
61.054	6.36	-3.422000000000006e-05
61.105	6.37	-3.4080000000000026e-05
61.169	6.38	-3.5769999999999964e-05
61.226	6.39	-3.162e-05
61.275	6.4	-3.3790000000000014e-05
61.335	6.41	-3.359000000000001e-05
61.402	6.42	-3.499000000000004e-05
61.455	6.43	-3.618000000000002e-05
61.511	6.44	-3.686999999999994e-05
61.575	6.45	-3.366000000000003e-05
61.626	6.46	-3.269999999999998e-05
61.674	6.47	-3.5650000000000026e-05
61.73	6.48	-3.4880000000000046e-05
61.797	6.49	-3.403e-05
61.851	6.5	-3.554999999999997e-05
61.906	6.51	-3.388000000000002e-05
61.959	6.52	-3.437999999999998e-05
62.014	6.53	-3.231000000000002e-05
62.079	6.54	-3.365999999999992e-05
62.142	6.55	-3.476e-05
62.197	6.56	-3.4159999999999985e-05
62.244	6.57	-3.389000000000007e-05
62.296	6.58	-3.306000000000001e-05
62.367	6.59	-3.301000000000009e-05
62.412	6.6	-3.2600000000000033e-05
62.479	6.61	-3.598000000000002e-05
62.53	6.62	-3.624999999999993e-05
62.594	6.63	-3.751999999999998e-05
62.649	6.64	-3.4559999999999994e-05
62.697	6.65	-3.6479999999999976e-05
62.768	6.66	-3.346999999999996e-05
62.821	6.67	-3.5309999999999985e-05
62.877	6.68	-3.516999999999995e-05
62.942	6.69	-3.47800000000001e-05
62.993	6.7	-3.4509999999999966e-05
63.053	6.71	-3.5250000000000017e-05
63.118	6.72	-3.8899999999999916e-05
63.167	6.73	-3.4179999999999974e-05
63.226	6.74	-3.578000000000001e-05
63.284	6.75	-3.5690000000000006e-05
63.344	6.76	-3.389000000000007e-05
63.399	6.77	-3.2980000000000054e-05
63.456	6.78	-3.559000000000006e-05
63.512	6.79	-3.581999999999999e-05
63.575	6.8	-3.631999999999995e-05
63.633	6.81	-3.472999999999996e-05
63.693	6.82	-3.459000000000003e-05
63.745	6.83	-3.5740000000000034e-05
63.802	6.84	-3.308999999999994e-05
63.871	6.85	-3.2599999999999925e-05
63.935	6.86	-3.636000000000004e-05
63.975	6.87	-3.790999999999994e-05
64.04	6.88	-3.669000000000003e-05
64.096	6.89	-3.6149999999999984e-05
64.154	6.9	-3.399000000000002e-05
64.213	6.91	-3.3330000000000035e-05
64.282	6.92	-3.432000000000001e-05
